model,parameter_value,q,w_q,k,omega_re,omega_im,A,B,delta_f_r0,I_rho,local_combo,direct_A,direct_B,abs_A_error,abs_B_error
Kiselev,-0.015,,-0.95,-0.015,0.9020014223335077,-0.11392759351271944,0.1717342189857709,0.18397028208850696,0.11448947932384726,0.01366617492480573,-0.00010819055148804434,0.1717342189857709,0.18397028208850696,0.0,0.0
Kiselev,-0.005,,-0.95,-0.005,0.8138673800575033,-0.10212589441419823,0.05724473966192356,0.06132342736283558,0.03816315977461571,0.004555391641601904,-3.606351716268145e-05,0.05724473966192356,0.06132342736283558,0.0,0.0
Kiselev,0.005,,-0.95,0.005,0.7257333377814988,-0.09032419531567702,-0.05724473966192367,-0.06132342736283569,-0.038163159774615776,-0.004555391641601913,3.606351716268145e-05,-0.05724473966192367,-0.06132342736283569,0.0,0.0
Kiselev,0.015,,-0.95,0.015,0.6375992955054945,-0.07852249621715582,-0.17173421898577068,-0.18397028208850696,-0.11448947932384712,-0.013666174924805713,0.0001081905514880463,-0.17173421898577068,-0.18397028208850696,0.0,0.0
Kiselev,-0.015,,-0.8,-0.015,0.8504366203051698,-0.10872366537971627,0.10474957623928693,0.12988947453671562,0.06983305082619129,0.008335706422631933,-0.00022228550460351662,0.10474957623928693,0.12988947453671562,0.0,0.0
Kiselev,-0.005,,-0.8,-0.005,0.7966791127147239,-0.10039125170319717,0.034916525413095645,0.043296491512238466,0.023277683608730428,0.0027785688075439774,-7.409516820117155e-05,0.034916525413095645,0.043296491512238466,0.0,0.0
Kiselev,0.005,,-0.8,0.005,0.7429216051242782,-0.09205883802667808,-0.034916525413095645,-0.04329649151223858,-0.023277683608730428,-0.0027785688075439774,7.409516820117254e-05,-0.034916525413095645,-0.04329649151223858,0.0,0.0
Kiselev,0.015,,-0.8,0.015,0.6891640975338325,-0.08372642435015899,-0.10474957623928682,-0.12988947453671562,-0.0698330508261912,-0.008335706422631924,0.0002222855046035176,-0.10474957623928682,-0.12988947453671562,0.0,0.0
Kiselev,-0.015,,-0.65,-0.015,0.8189845824222671,-0.10447108733657327,0.06389218052821066,0.0856953871334627,0.042594787018807104,0.005084378177992236,-0.0001927826725822069,0.06389218052821066,0.0856953871334627,0.0,0.0
Kiselev,-0.005,,-0.65,-0.005,0.7861951000870898,-0.09897372568881617,0.021297393509403628,0.02856512904448749,0.014198262339602419,0.0016947927259974179,-6.426089086073433e-05,0.021297393509403628,0.02856512904448749,0.0,0.0
Kiselev,0.005,,-0.65,0.005,0.7534056177519123,-0.09347636404105908,-0.021297393509403628,-0.028565129044487603,-0.014198262339602419,-0.0016947927259974179,6.42608908607353e-05,-0.021297393509403628,-0.028565129044487603,0.0,0.0
Kiselev,0.015,,-0.65,0.015,0.7206161354167349,-0.08797900239330199,-0.06389218052821077,-0.0856953871334627,-0.04259478701880718,-0.005084378177992245,0.00019278267258220592,-0.06389218052821077,-0.0856953871334627,0.0,0.0
Kiselev,-0.015,,-0.5,-0.015,0.7998003589195011,-0.10138129486493763,0.038971143170299705,0.053585321859162205,0.025980762113533135,0.0031012250367475776,-0.00012921770986448338,0.038971143170299705,0.053585321859162205,0.0,0.0
Kiselev,-0.005,,-0.5,-0.005,0.7798003589195011,-0.09794379486493762,0.012990381056766642,0.017861773953053994,0.008660254037844428,0.001033741678915865,-4.307256995482649e-05,0.012990381056766642,0.017861773953053994,0.0,0.0
Kiselev,0.005,,-0.5,0.005,0.759800358919501,-0.09450629486493764,-0.012990381056766642,-0.017861773953053994,-0.008660254037844428,-0.001033741678915865,4.307256995482649e-05,-0.012990381056766642,-0.017861773953053994,0.0,0.0
Kiselev,0.015,,-0.5,0.015,0.739800358919501,-0.09106879486493763,-0.038971143170299816,-0.053585321859162205,-0.025980762113533208,-0.0031012250367475863,0.0001292177098644824,-0.038971143170299816,-0.053585321859162205,0.0,0.0
Bardeen,0.0,0.0,,,0.769800358919501,-0.09622504486493763,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
