model,parameter_value,q,w_q,k,L,rho0,w_theta,profile_integral,A,B,delta_f_r0,I_rho,local_combo
Kiselev,-0.015,,-0.95,-0.015,0.5,0.002186587987968917,-1.0494791666666663,6.25,0.1717342189857709,0.18397028208850696,0.11448947932384726,0.01366617492480573,-0.00010819055148804434
Kiselev,-0.015,,-0.95,-0.015,1.0,0.0008038926426356312,-1.1345833333333322,17.0,0.1717342189857709,0.18397028208850696,0.11448947932384726,0.01366617492480573,-0.00010819055148804434
Kiselev,-0.015,,-0.95,-0.015,2.0,0.0002356237056000988,-1.4591666666666623,58.0,0.1717342189857709,0.18397028208850696,0.11448947932384726,0.01366617492480573,-0.00010819055148804434
Kiselev,-0.005,,-0.95,-0.005,0.5,0.0007288626626563047,-1.0494791666666663,6.25,0.05724473966192356,0.06132342736283558,0.03816315977461571,0.004555391641601904,-3.606351716268145e-05
Kiselev,-0.005,,-0.95,-0.005,1.0,0.00026796421421187674,-1.1345833333333322,17.0,0.05724473966192356,0.06132342736283558,0.03816315977461571,0.004555391641601904,-3.606351716268145e-05
Kiselev,-0.005,,-0.95,-0.005,2.0,7.854123520003284e-05,-1.459166666666663,58.0,0.05724473966192356,0.06132342736283558,0.03816315977461571,0.004555391641601904,-3.606351716268145e-05
Kiselev,0.005,,-0.95,0.005,0.5,-0.0007288626626563061,-1.049479166666666,6.25,-0.05724473966192367,-0.06132342736283569,-0.038163159774615776,-0.004555391641601913,3.606351716268145e-05
Kiselev,0.005,,-0.95,0.005,1.0,-0.0002679642142118772,-1.134583333333332,17.0,-0.05724473966192367,-0.06132342736283569,-0.038163159774615776,-0.004555391641601913,3.606351716268145e-05
Kiselev,0.005,,-0.95,0.005,2.0,-7.854123520003299e-05,-1.459166666666662,58.0,-0.05724473966192367,-0.06132342736283569,-0.038163159774615776,-0.004555391641601913,3.606351716268145e-05
Kiselev,0.015,,-0.95,0.015,0.5,-0.002186587987968914,-1.0494791666666672,6.25,-0.17173421898577068,-0.18397028208850696,-0.11448947932384712,-0.013666174924805713,0.0001081905514880463
Kiselev,0.015,,-0.95,0.015,1.0,-0.0008038926426356301,-1.1345833333333346,17.0,-0.17173421898577068,-0.18397028208850696,-0.11448947932384712,-0.013666174924805713,0.0001081905514880463
Kiselev,0.015,,-0.95,0.015,2.0,-0.0002356237056000985,-1.4591666666666712,58.0,-0.17173421898577068,-0.18397028208850696,-0.11448947932384712,-0.013666174924805713,0.0001081905514880463
Bardeen,0.0,0.0,,,0.5,0.0,,6.25,0.0,0.0,0.0,0.0,0.0
Bardeen,0.0,0.0,,,1.0,0.0,,17.0,0.0,0.0,0.0,0.0,0.0
Bardeen,0.0,0.0,,,2.0,0.0,,58.0,0.0,0.0,0.0,0.0,0.0
Bardeen,0.03333333333333333,0.03333333333333333,,,0.5,2.357851008770131e-06,0.15740740740685233,6.25,0.00018518518518528815,-0.0001234567901233774,0.00012345679012352542,1.4736568804813318e-05,2.7289942231122687e-06
Bardeen,0.03333333333333333,0.03333333333333333,,,1.0,8.668569885184305e-07,2.1481481481466385,17.0,0.00018518518518528815,-0.0001234567901233774,0.00012345679012352542,1.4736568804813318e-05,2.7289942231122687e-06
Bardeen,0.03333333333333333,0.03333333333333333,,,2.0,2.5407877249678133e-07,9.74074074073559,58.0,0.00018518518518528815,-0.0001234567901233774,0.00012345679012352542,1.4736568804813318e-05,2.7289942231122687e-06
Bardeen,0.06666666666666667,0.06666666666666667,,,0.5,9.431404035074869e-06,0.15740740740744208,6.25,0.0007407407407407085,-0.0004938271604938427,0.0004938271604938056,5.8946275219217934e-05,1.0915976892448092e-05
Bardeen,0.06666666666666667,0.06666666666666667,,,1.0,3.4674279540716433e-06,2.148148148148242,17.0,0.0007407407407407085,-0.0004938271604938427,0.0004938271604938056,5.8946275219217934e-05,1.0915976892448092e-05
Bardeen,0.06666666666666667,0.06666666666666667,,,2.0,1.016315089986516e-06,9.740740740741062,58.0,0.0007407407407407085,-0.0004938271604938427,0.0004938271604938056,5.8946275219217934e-05,1.0915976892448092e-05
Bardeen,0.1,0.1,,,0.5,2.1220659078919872e-05,0.15740740740737658,6.25,0.0016666666666667052,-0.0011111111111110628,0.0011111111111111367,0.0001326291192432492,2.4560948008008455e-05
Bardeen,0.1,0.1,,,1.0,7.801712896661717e-06,2.1481481481480644,17.0,0.0016666666666667052,-0.0011111111111110628,0.0011111111111111367,0.0001326291192432492,2.4560948008008455e-05
Bardeen,0.1,0.1,,,2.0,2.2867089524698135e-06,9.740740740740454,58.0,0.0016666666666667052,-0.0011111111111110628,0.0011111111111111367,0.0001326291192432492,2.4560948008008455e-05
Hayward,0.0,0.0,,,0.5,0.0,,6.25,0.0,0.0,0.0,0.0,0.0
Hayward,0.0,0.0,,,1.0,0.0,,17.0,0.0,0.0,0.0,0.0,0.0
Hayward,0.0,0.0,,,2.0,0.0,,58.0,0.0,0.0,0.0,0.0,0.0
Hayward,0.03333333333333333,0.03333333333333333,,,0.5,1.746556302897399e-08,1.0833333332771282,6.25,1.3717421125658547e-06,-2.743484225020687e-06,9.144947417105698e-07,1.0915976893108744e-07,3.638658964271416e-08
Hayward,0.03333333333333333,0.03333333333333333,,,1.0,6.4211628782992614e-09,,17.0,1.3717421125658547e-06,-2.743484225020687e-06,9.144947417105698e-07,1.0915976893108744e-07,3.638658964271416e-08
Hayward,0.03333333333333333,0.03333333333333333,,,2.0,1.882064981570473e-09,,58.0,1.3717421125658547e-06,-2.743484225020687e-06,9.144947417105698e-07,1.0915976893108744e-07,3.638658964271416e-08
Hayward,0.06666666666666667,0.06666666666666667,,,0.5,1.3972450422331046e-07,1.0833333333403585,6.25,1.0973936899860703e-05,-2.194787379983243e-05,7.315957933240469e-06,8.732781513956903e-07,2.910927171328784e-07
Hayward,0.06666666666666667,0.06666666666666667,,,1.0,5.13693030232759e-08,4.666666666685776,17.0,1.0973936899860703e-05,-2.194787379983243e-05,7.315957933240469e-06,8.732781513956903e-07,2.910927171328784e-07
Hayward,0.06666666666666667,0.06666666666666667,,,2.0,1.5056519851649832e-08,18.33333333339853,58.0,1.0973936899860703e-05,-2.194787379983243e-05,7.315957933240469e-06,8.732781513956903e-07,2.910927171328784e-07
Hayward,0.1,0.1,,,0.5,4.7157020175402616e-07,1.0833333333333335,6.25,3.703703703705763e-05,-7.407407407411526e-05,2.4691358024705085e-05,2.9473137609626636e-06,9.824379203208879e-07
