w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-1.0,-0.02,0.5133333333333334,0.24441161395694158,0.24441161395694158,0.27,0.27,0.9776464558277663,-0.12220580697847079,0.20784609690826528,-0.02598076211353316
-1.0,-0.018518518518518517,0.5,0.2405626121623441,0.2405626121623441,0.25,0.25,0.9622504486493764,-0.12028130608117205,0.19245008972987532,-0.024056261216234415
-1.0,-0.017037037037037038,0.4866666666666667,0.23671361036774657,0.23671361036774657,0.22999999999999998,0.22999999999999998,0.9468544414709863,-0.11835680518387329,0.17705408255148525,-0.022131760318935656
-1.0,-0.015555555555555555,0.4733333333333334,0.23286460857314906,0.23286460857314906,0.20999999999999996,0.20999999999999996,0.9314584342925962,-0.11643230428657453,0.16165807537309518,-0.020207259421636897
-1.0,-0.014074074074074076,0.4600000000000001,0.22901560677855154,0.22901560677855154,0.18999999999999995,0.18999999999999995,0.9160624271142062,-0.11450780338927577,0.1462620681947051,-0.01828275852433814
-1.0,-0.012592592592592593,0.4466666666666667,0.22516660498395405,0.22516660498395405,0.16999999999999993,0.16999999999999993,0.9006664199358162,-0.11258330249197702,0.13086606101631515,-0.016358257627039394
-1.0,-0.011111111111111112,0.43333333333333335,0.22131760318935653,0.22131760318935653,0.1499999999999999,0.1499999999999999,0.8852704127574261,-0.11065880159467827,0.11547005383792508,-0.014433756729740635
-1.0,-0.00962962962962963,0.42000000000000004,0.21746860139475901,0.21746860139475901,0.1299999999999999,0.1299999999999999,0.8698744055790361,-0.10873430069737951,0.10007404665953501,-0.012509255832441876
-1.0,-0.00814814814814815,0.40666666666666673,0.21361959960016155,0.21361959960016155,0.1100000000000001,0.1100000000000001,0.8544783984006462,-0.10680979980008078,0.08467803948114516,-0.010584754935143145
-1.0,-0.006666666666666668,0.39333333333333337,0.20977059780556406,0.20977059780556406,0.09000000000000008,0.09000000000000008,0.8390823912222563,-0.10488529890278203,0.0692820323027552,-0.0086602540378444
-1.0,-0.005185185185185187,0.38000000000000006,0.20592159601096655,0.20592159601096655,0.07000000000000006,0.07000000000000006,0.8236863840438662,-0.10296079800548327,0.05388602512436513,-0.006735753140545642
-1.0,-0.0037037037037037056,0.3666666666666667,0.20207259421636903,0.20207259421636903,0.050000000000000044,0.050000000000000044,0.8082903768654761,-0.10103629710818451,0.038490017945975064,-0.004811252243246883
-1.0,-0.0022222222222222227,0.3533333333333334,0.19822359242177154,0.19822359242177154,0.030000000000000027,0.030000000000000027,0.7928943696870862,-0.09911179621088577,0.023094010767585105,-0.002886751345948138
-1.0,-0.0007407407407407432,0.3400000000000001,0.19437459062717402,0.19437459062717402,0.010000000000000009,0.010000000000000009,0.7774983625086961,-0.09718729531358701,0.007698003589195035,-0.0009622504486493794
-1.0,0.0007407407407407397,0.3266666666666667,0.1905255888325765,0.1905255888325765,-0.010000000000000009,-0.010000000000000009,0.762102355330306,-0.09526279441628825,-0.007698003589195035,0.0009622504486493794
-1.0,0.002222222222222219,0.3133333333333334,0.186676587037979,0.186676587037979,-0.029999999999999916,-0.029999999999999916,0.746706348151916,-0.0933382935189895,-0.023094010767584994,0.002886751345948124
-1.0,0.003703703703703702,0.30000000000000004,0.18282758524338152,0.18282758524338152,-0.04999999999999982,-0.04999999999999982,0.7313103409735261,-0.09141379262169076,-0.03849001794597495,0.004811252243246869
-1.0,0.005185185185185185,0.2866666666666667,0.17897858344878398,0.17897858344878398,-0.07000000000000006,-0.07000000000000006,0.7159143337951359,-0.08948929172439199,-0.05388602512436513,0.006735753140545642
-1.0,0.0066666666666666645,0.2733333333333334,0.1751295816541865,0.1751295816541865,-0.08999999999999997,-0.08999999999999997,0.700518326616746,-0.08756479082709324,-0.06928203230275509,0.008660254037844387
