target,n_train,n_test,rmse,mae,r2,mean_gp_sigma
deltaOmega_over_Omega0,20,764,0.006339313723755613,0.002493498045647129,0.9934908859558741,0.0015448060481832047
deltaLambda_over_lambda0,20,764,0.001955707289067853,0.0009570831037385417,0.9995310478696772,0.00119171903341312
deltaOmega_over_Omega0,40,744,0.0010753397757758318,0.0003345261451366621,0.9998116401611932,0.0007923054782136318
deltaLambda_over_lambda0,40,744,0.0006484332229292874,0.00024980452840543584,0.9999481485422983,0.00041544738428404853
deltaOmega_over_Omega0,80,704,0.00012840245584199033,2.638484517229454e-05,0.9999973089822882,0.00010855330148404844
deltaLambda_over_lambda0,80,704,4.55324946201201e-05,1.4403109858370269e-05,0.9999997438889808,4.899314104440638e-05
deltaOmega_over_Omega0,160,624,7.065201065789009e-06,1.603781404370098e-06,0.9999999919537741,1.3770696359612333e-05
deltaLambda_over_lambda0,160,624,5.04657633000142e-06,1.2492121825246075e-06,0.9999999968793982,9.425824367497028e-06
deltaOmega_over_Omega0,300,484,4.059562178405871e-06,6.484705280315302e-07,0.9999999976049991,3.360830103037192e-06
deltaLambda_over_lambda0,300,484,4.054431072494142e-06,5.869522647025837e-07,0.9999999981691445,3.328805151691487e-06
