target,n_train,n_test,rmse,mae,r2,mean_gp_sigma
deltaOmega,20,556,3.553266909220737e-05,1.8774482447855327e-05,0.9999765845795002,3.111087770370383e-05
deltaLambda,20,556,3.7378523820665514e-05,1.9885814748578462e-05,0.9999672389731811,2.9360490721756978e-05
deltaOmega,40,536,1.652228931779793e-05,7.47867281819849e-06,0.999994988468604,9.110479924397878e-06
deltaLambda,40,536,1.7468110109342992e-05,7.861129391741328e-06,0.9999929383460888,8.769875326059448e-06
deltaOmega,80,496,2.638459456867383e-06,1.0095561289516916e-06,0.9999998743089078,2.344844455424975e-06
deltaLambda,80,496,2.612611821280647e-06,9.912410534123146e-07,0.9999998448177357,2.2528070264340236e-06
deltaOmega,160,416,2.808739436365507e-07,1.151743461706019e-07,0.9999999985663449,6.746944193972582e-07
deltaLambda,160,416,2.6908702220437924e-07,1.0546365914985477e-07,0.9999999983380872,6.408188502703304e-07
deltaOmega,300,276,9.101216596671987e-08,3.1885945549736755e-08,0.9999999998581074,2.421355566480701e-07
deltaLambda,300,276,8.876521686150051e-08,2.8578986586354722e-08,0.9999999998300917,2.2655843030828924e-07
