w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.0,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.0,0.004347826086956522,2.987228957031047,0.1931180140884624,0.19290982961787084,0.0006679243585871464,0.00045968659786349564,0.7724720563538496,-0.09645491480893542,0.0026716974343485855,-0.00022984329893174782
0.0,0.008695652173913044,2.974402568612734,0.19379422915741817,0.19337534128892347,0.001344139427542912,0.0009251982689161276,0.7751769166296727,-0.09668767064446174,0.005376557710171648,-0.0004625991344580638
0.0,0.013043478260869566,2.961520318339805,0.19447890173566482,0.19384679680802877,0.0020288120057895542,0.0013966537880214236,0.7779156069426593,-0.09692339840401439,0.008115248023158217,-0.0006983268940107118
0.0,0.017391304347826087,2.9485816811794705,0.1951722032409991,0.19432431841706202,0.002722113511123836,0.0018741753970546726,0.7806888129639964,-0.09716215920853101,0.010888454044495344,-0.0009370876985273363
0.0,0.021739130434782608,2.93558612442583,0.1958743098729313,0.19480803184282805,0.003424220143056045,0.002357888822820703,0.7834972394917252,-0.09740401592141402,0.01369688057222418,-0.0011789444114103514
0.0,0.026086956521739132,2.922533107560859,0.1965854027825031,0.1952980663607319,0.004135313052627848,0.002847923340724562,0.7863416111300124,-0.09764903318036595,0.016541252210511392,-0.001423961670362281
0.0,0.030434782608695653,2.9094220820858916,0.19730566824943793,0.1957945547840191,0.00485557851956267,0.003344411764011762,0.7892226729977517,-0.09789727739200955,0.01942231407825068,-0.001672205882005881
0.0,0.034782608695652174,2.8962524913716523,0.19803529786699595,0.19629763391983354,0.005585208137120684,0.0038474908998261947,0.7921411914679838,-0.09814881695991677,0.022340832548482736,-0.0019237454499130974
0.0,0.0391304347826087,2.883023770480477,0.1987744887349298,0.19680744435216144,0.0063243990050545484,0.00435730133215409,0.7950979549397192,-0.09840372217608072,0.025297596020218194,-0.002178650666077045
0.0,0.043478260869565216,2.869735346010445,0.19952344366095887,0.1973241311090494,0.0070733539310836036,0.004873988089042047,0.7980937746438355,-0.0986620655545247,0.028293415724334414,-0.0024369940445210236
0.0,0.04782608695652174,2.856386635916748,0.20028237137120586,0.19784784312385978,0.007832281641330596,0.005397700103852432,0.8011294854848234,-0.09892392156192989,0.031329126565322385,-0.002698850051926216
0.0,0.052173913043478265,2.84297704933507,0.2010514867300658,0.1983787339434578,0.008601397000190525,0.005928590923450466,0.8042059469202631,-0.0991893669717289,0.0344055880007621,-0.002964295461725233
0.0,0.05652173913043478,2.8295059864021495,0.20183101097000608,0.19891696175367984,0.009380921240130818,0.006466818733672497,0.8073240438800243,-0.09945848087683992,0.037523684960523274,-0.0032334093668362485
0.0,0.06086956521739131,2.8159728380618008,0.20262117193182622,0.19946268944399284,0.010171082201950954,0.007012546423985494,0.8104846877273049,-0.09973134472199642,0.040684328807803816,-0.003506273211992747
0.0,0.06521739130434782,2.8023769858784267,0.2034222043159388,0.20001608462059953,0.010972114586063536,0.00756594160059218,0.8136888172637552,-0.10000804231029976,0.043888458344254144,-0.00378297080029609
0.0,0.06956521739130435,2.788717801844574,0.20423434994526846,0.20057732031949146,0.011784260215393194,0.008127177299484117,0.8169373997810738,-0.10028866015974573,0.047137040861572777,-0.004063588649742059
